223900210  471  479  176  185
224100467  171  181  264  274
223601587 1033 1041  614  622
223502351 1068 1078   76   86
223602002 1082 1091  842  851
224003948  390  400  556  566
223604142 1017 1027  563  573
223904353  570  580  671  681
224104372  306  321  914  924
223506916 1097 1105  242  251
223807816  677  686  463  472
223908679  426  434   26   35
224008375  293  303  137  147
224009294  435  444  801  810
223810858  670  679  449  457
223711688  895  906  777  789
224112910  178  187  390  399
224014495  280  288  120  129
223815073  598  606  148  157
224115392  143  152  249  259
223716653  753  762  149  158
223719116  839  849  568  578
223920907  532  541  604  613
224120828  303  314 1024 1034
223921006  561  571  745  755
223824239  704  714  705  715
224125253  116  124  196  205
223527944 1056 1064  202  211
224227193   19   29  536  546
200128919  116  126  386  396
224028917  416  426  856  866
223629273 1010 1020  707  717
223629896 1013 1022  722  730
223929512  577  587  875  885
224029251  400  408  785  793
224129385  279  290  978  988
223731551  893  904  901  911
223634184 1066 1074  992 1000
223934004  400  410   93  103
223934016  494  504  529  539
223735739  895  905  943  954
223636719  915  925  328  338
223838384  737  743  952  960
223742384  709  719  133  143
223644294  989  999  718  728
223944205  583  593 1007 1017
243844267  789  797  916  925
223845410  637  647  550  560
239546272  858  866   85   94
223547870 1072 1082  419  429
223647506  955  965  580  590
223647571  855  864  119  127
223747918  698  706  122  131
224047302  270  279  317  326
224047550  268  276  311  320
223848434  608  617  436  445
251248365 1031 1038  917  926
251248382  765  772  211  220
251248388  402  408  208  216
251248389  314  321  573  582
251248395  284  291  902  911
251248396  939  946  685  694
251248401  638  646  229  237
251248411 1022 1029  716  725
251248420  236  243  601  609
251248422  458  465  930  939
251248507  970  978  480  488
251248628  981  989  131  140
251248633  985  993  403  412
251248634  935  943  447  456
251248636  588  596  563  572
251248637  516  524  580  589
251248639  567  575  666  675
251248640  813  821  692  701
251248641  415  423  820  829
251248642 1084 1092  674  682
243949542  100  107  993 1002
223750474  731  741  296  306
223951285  380  388  124  134
223552722 1086 1097  524  535
224053358  240  250  223  233
223557341 1014 1022  216  224
223557377 1005 1013  176  185
223858033  690  702  885  897
223560707 1068 1077  489  498
223760197  703  711  235  244
223960938  367  375  133  142
223563185 1031 1039  338  347
224063509  378  390  941  953
224163079  176  187  763  773
223765584  714  723  325  334
223866806  625  642  648  661
223866969  520  530  162  172
223968373  456  466  602  612
224068978  175  184   36   45
223570159 1092 1115  664  676
223971613  355  371  156  168
224271029   49   59 1015 1025
223872161  571  579  440  449
223873632  666  675  885  894
223973536  530  540  974  984
223574294 1060 1071  555  567
223974439  529  538  975  984
223875724  654  662  844  853
224075822  293  303  638  648
224175257  124  134  620  630
223877191  559  570  418  428
223878759  518  531  239  250
223879621  555  562  420  429
223780948  667  676  218  227
223880472  570  580  498  508
223682102  891  902  539  549
223585368  960  969  162  171
223587278  988 1002  308  320
223787952  681  690  338  348
223887349  537  546  390  399
223788120  751  760  660  670
223689337  822  833  272  282
224089671  279  290  676  686
223990316  363  369  325  333
223792344  631  639  134  142
223992733  359  367  323  331
224094885  156  166  152  162
223795755  609  620   58   68
223995987  449  459  769  779
224096970  224  231  479  487
223598967 1006 1016  474  484
223699981  801  811  251  261
223804032  682  714  457  466
223804032  692  702  455  456
223804032  693  706  467  470
223906194  635  667  974  983
223906194  645  655  972  973
223906194  646  659  984  987
224195451   65   97  505  514
224195451   75   85  503  504
224195451   76   89  515  518
